TABLE_NAME,COLUMN_NAME
FEEDBACK,FEEDBACK_ID
FLAGS_GLOBALS,FLAG_ID
FLAGS_GLOBALS,GLOBAL_ID
FLAG_CHANGES,CHANGE_ID
FO_APPLIED_GC,ROW_ID
FO_AR,AR_ID
FO_AR_SOURCES,SOURCE_ID
FO_CASH,CASH_ID
FO_CASH_DENOMINATIONS,DENOM_INDEX
FO_CASH_LOCATIONS,LOCATION_INDEX
FO_CHECKS,CHECK_ID
FO_CLOSES,CLOSE_ID
FO_CLOSE_USERS,CLOSE_ID
FO_CLOSE_USERS,USER_ID
FO_CLOSE_USERS,OPEN_CLOSE
FO_CURRENT_CLOSES,ROW_ID
FO_ITEMS,ROW_ID
FO_ITEMS_LOOKUP,ITEM_ID
FO_ITEM_CATEGORIES,CATEGORY_ID
FO_ITEM_TYPES,ROW_ID
FO_ITEM_TYPES_LOOKUP,TYPE_ID
FO_MISC,ROW_ID
FO_MISC_LOOKUP,ITEM_ID
FO_PARKING,CLOSE_ID
FO_REG_CODES,ROW_ID
GIFT_CERTIFICATES,CERT_ID
GIFT_CERTS_DISCOUNTS,ASSIGN_ID
GIFT_CERT_PURCHASES,PURCHASE_ID
GIFT_CERT_STATES,STATE_ID
GLOBAL_CONSTANTS,CONSTANT_ID
GLOBAL_CONSTANTS_VALUES,VALUE_ID
GLOBAL_CONSTANT_DATA_TYPES,TYPE_ID
GUEST_PRIVS,MEMBERSHIP_ID
HIGH_SCHOOLS,SCHOOL_ID
HIGH_SCHOOL_FEES,ROW_ID
HIGH_SCHOOL_PAYMENTS,PAYMENT_ID
INCOME_LEVELS,LEVEL_ID
INDIEGOGO_DONATIONS,ID
INSTALLMENT_SALES,SALE_ID
INSTRUCTION_QUEUE,INSTRUCTION_ID
JPC_INSTANCES_DISCOUNTS,ASSIGN_ID
JP_CLASS_ATTENDANCE,ATTEND_ID
JP_CLASS_INSTANCES,INSTANCE_ID
JP_CLASS_SECTIONS,SECTION_ID
JP_CLASS_SECTION_LOOKUP,SECTION_ID
JP_CLASS_SESSIONS,SESSION_ID
JP_CLASS_SIGNUPS,SIGNUP_ID
JP_CLASS_SIGNUPS_SKILLS,ASSIGN_ID
JP_CLASS_SKILLS,SKILL_ID
JP_CLASS_SKILLS_RATINGS,RATING_ID
JP_CLASS_STAGGERS,STAGGER_ID
JP_CLASS_TYPES,TYPE_ID
JP_CLASS_TYPE_OVERRIDES,ROW_ID
JP_CLASS_WL_RESULTS,SIGNUP_ID
JP_CLOSURES,CLOSURE_ID
JP_EMAIL_TRACKING,EMAIL_ID
JP_GROUPS,GROUP_ID
JP_NO_SWIM,SWIM_ID
JP_RATINGS_GRANTED,GRANT_ID
JP_REPL_MAPPING,MAP_ID
JP_SPECIAL_NEEDS,CARD_ID
JP_SPRING_WAITLIST,REG_ID
JP_TEAMS,TEAM_ID
JP_TEAM_EVENTS,EVENT_ID
JP_TEAM_EVENT_POINTS,ROW_ID
JP_WEATHER,WEATHER_ID
LANGUAGES,LANGUAGE_ID
M2_TO_HELMS,M2
MEMBERSHIPS_DISCOUNTS,ASSIGN_ID
MEMBERSHIP_PRICES,INSTANCE_ID
MEMBERSHIP_TYPES,MEMBERSHIP_TYPE_ID
MEMBERSHIP_TYPE_DISCOUNTS,DISCOUNT_ID
MEMBERSHIP_TYPE_EXP,EXPIRATION_ID
MEM_TYPES_ALLOWED_RATINGS,ASSIGN_ID
MEM_TYPES_AP_CLASS_TYPES,MEMBERSHIP_TYPE_ID
MEM_TYPES_AP_CLASS_TYPES,AP_CLASS_TYPE_ID
MERGE_HISTORY,ACTION_ID
OPT_OUT_GROUPS,OPT_OUT_GRP_ID
OPT_OUT_REQUESTS,REQ_ID
ORDERS_PROMOS,ASSIGN_ID
ORDERS_STRIPE_PAYMENT_INTENTS,ROW_ID
ORDER_NUMBERS,ORDER_ID
ORDER_STAGGERED_PAYMENTS,STAGGER_ID
PAS,PAS_ID
PERFORMANCE_LOG,LOG_ID
PERSONS,PERSON_ID
PERSONS_CARDS,ASSIGN_ID
PERSONS_CARDS_ALTERNATE,ASSIGN_ID
PERSONS_DISCOUNTS_ELIGIBLE,ROW_ID
PERSONS_EVENTS,ASSIGN_ID
PERSONS_MEMBERSHIPS,ASSIGN_ID
PERSONS_NOTIFICATION_PREFERENCES,PREF_ID
PERSONS_RATINGS,ASSIGN_ID
PERSONS_RECURRING_DONATIONS,ROW_ID
PERSONS_TAGS,ASSIGN_ID
PERSONS_TEMP,PERSON_ID
PERSONS_TO_DELETE,ROW_ID
PERSON_RELATIONSHIPS,RELATION_ID
PERSON_RELATIONSHIP_TYPES,TYPE_ID
PERSON_TYPES,TYPE_ID
PERSON_TYPES_FIELDS,ASSIGN_ID
PREFERENCES,PREF_ID
PROGRAM_TYPES,PROGRAM_ID
